Sprint,Bug ID,Bug Title,Who found,Platform,Functionality,How many times reproduced,Root Cause,Status,Priorities,Severity,Created Date,Changed Date,Time for solve
226,7774,KNAUF Windows 10 x64 EN (1909) - default PSADT dot sourcing,Customer(Internal),Virtualization,VDI image,1,,Closed,2 - High,3 - Medium,07.03.2023,20.03.2023,13
232,7787,No Project Storage access for non-entitled users,Managment,"AT Portal(prod), AT Portal(dev)",Share mount,1,,Closed,2 - High,3 - Medium,10.03.2023,15.07.2023,127
-,7830,"AT portal. ""This User Guide is not available"" error notification",QA,"AT Portal(prod), AT Portal(dev)",User Guides,1,,To Do,3 - Medium,3 - Medium,14.03.2023,14.03.2023,0
226,7832,Any user can access any user data and organization data,Developer,"SSO, AT Portal",API,1,API endpoints are not secure we need to add a check for permissions for API endpoints.,Closed,2 - High,1 - Critical,14.03.2023,21.03.2023,7
-,7848,Very slow performance of the AppDb 'Edit software',Developer,"OPS(dev), OPS(prod)",AppDB,1,,To Do,3 - Medium,3 - Medium,17.03.2023,20.03.2023,3
-,7849,Issue with the limit of 200 items to return from Azure DevOps service,Developer,"OPS(dev), OPS(prod)",Azure DevOPS,1,,To Do,3 - Medium,3 - Medium,17.03.2023,17.03.2023,0
227,7853,VirusCheck Service pod is not started automatically after deployment,Developer,"AT Portal(prod), AT Portal(dev)",VirusCheck,1,,Closed,3 - Medium,3 - Medium,17.03.2023,21.03.2023,4
-,7855,Very slow performance of the Default Complexity Matrix 'Test',Developer,"OPS(dev), OPS(prod)",Complexity Matrix,1,,To Do,3 - Medium,3 - Medium,17.03.2023,20.03.2023,3
-,7856,Fix license issue for TinyMCE js package,Developer,"AT Portal(prod), AT Portal(dev)",Licence,1,,Not reproduced,3 - Medium,3 - Medium,19.03.2023,23.03.2023,4
-,7857,The mail is not sent using Mailer on OPS,QA,"OPS(dev), OPS(prod)",Mailer,1,,To Do,3 - Medium,3 - Medium,20.03.2023,05.04.2023,16
-,7859,Very slow performance of the Template Generator Run,Developer,"OPS(dev), OPS(prod)",Autopackaging,1,,To Do,3 - Medium,3 - Medium,20.03.2023,20.03.2023,0
-,7875,EDEKA Windows 10 Pro x64 DE (21H2) - default PSADT dot sourcing,Customer(Internal),"AT Portal(prod), AT Portal(dev)",VDI image,1,,Closed,2 - High,3 - Medium,21.03.2023,17.07.2023,118
227,7891,SDC ticket is not transitioned to 'Info Validation' status after added comment,Developer,"AT Portal(prod), AT Portal(dev)",Factory Requests,1,,Closed,1 - Critical,1 - Critical,22.03.2023,25.03.2023,3
227,7910,Apptimized AV scan produces an error: 'Not connected to the AV engine',Customer,"AT Portal(prod), AT Portal(dev)",AV file check,1,,Closed,2 - High,2 - High,22.03.2023,22.07.2023,122
230,8034,"VM is getting stuck during ""msiexec"" cmd commands",Customer(Internal),"AT Portal(prod), AT Portal(dev)",VM,1,,Closed,2 - High,3 - Medium,31.03.2023,03.06.2023,64
-,8106,Launcher doesn't handle all user custom settings,Customer(Internal),"AT Portal(prod), AT Portal(dev)",Launcher,1,,Closed,3 - Medium,3 - Medium,10.04.2023,11.07.2023,92
-,8107,PSADT Wrapper. MSI list of package is not displayed,QA,"AT Portal(prod), AT Portal(dev)",Wrapper Generator,1,,To Do,3 - Medium,3 - Medium,10.04.2023,10.04.2023,0
228,8122,Node golf. Problem with permission during creating new folders.,DevOps,Virtualization,VM,1,,Closed,3 - Medium,3 - Medium,11.04.2023,11.04.2023,0
228,8127,AT portal. Source Status is set to zero after OPS UM Crawl,QA,"AT Portal(prod), AT Portal(dev)",Source status,1,,Closed,3 - Medium,3 - Medium,12.04.2023,20.04.2023,8
235,8128,User duplication AT - SSO,Managment,"AT Portal(prod), AT Portal(dev)",List of users,1,users deleted in SSO where not deleted in AT portal's own user DB,Closed,2 - High,2 - High,12.04.2023,09.08.2023,119
-,8130,AT portal. Authorization failed after login without and with added subscription,QA,"SSO(dev), SSO(prod)",Authorization,1,,To Do,3 - Medium,3 - Medium,12.04.2023,12.04.2023,0
228,8155,The Upload Discovery Document button isn`t working on the Care+ settings,QA,"AT Portal(prod), AT Portal(dev)",Care: Upload Discovery File,1,,Closed,3 - Medium,3 - Medium,18.04.2023,19.04.2023,1
228,8160,OPS migration. Fixing issues,DevOps,"OPS(dev), OPS(prod)",DB,1,,Closed,3 - Medium,3 - Medium,19.04.2023,19.04.2023,0
228,8161,Issue with VPN server,DevOps,VPN,RDP,1,,Closed,3 - Medium,3 - Medium,19.04.2023,19.04.2023,0
-,8163,AT portal UM. Application is marked as Care+ but is empty,QA,"AT Portal(prod), AT Portal(dev)",Updates,1,,To Do,3 - Medium,3 - Medium,19.04.2023,19.04.2023,0
-,8193,AT portal. Screenshotter not capturing button clicks,QA,"AT Portal(prod), AT Portal(dev)",Screenshoter,1,,To Do,2 - High,3 - Medium,21.04.2023,25.07.2023,95
230,8195,Autopackaging: uzip source archive put files outside of initial folders,Customer(Internal),"OPS(dev), OPS(prod)",Autopackaging,1,Replaced backslashes in entries for uploading to storage,Closed,3 - Medium,3 - Medium,21.04.2023,18.05.2023,27
229,8197,The Link to image is shown in the top of the page on the Preview Discovery Document,QA,"AT Portal(prod), AT Portal(dev)",Discovery Document Preview,1,,Closed,3 - Medium,3 - Medium,21.04.2023,03.07.2023,73
229,8217,AutoPackaging: run creation of VM instance directly from 'AutoTestingJob',Developer,"OPS(dev), OPS(prod)",Autopackaging Testing,1,,Closed,2 - High,2 - High,25.04.2023,17.05.2023,22
229,8219,Fix folder structure in the IntuneWin zip-archive,Developer,"OPS(dev), OPS(prod)",Autopackaging Wrapping,1,"Wrong requirements for the task, QA fault",Closed,2 - High,3 - Medium,26.04.2023,03.07.2023,68
229,8236,The empty replace item is replaced by placeholder,QA,"OPS(dev), OPS(prod)",Autopackaging Wrapping,1,,Not reproduced,2 - High,3 - Medium,28.04.2023,03.07.2023,66
229,8240,Care ticket exist on version logic doesn`t left link to the existing Care parent SDC,QA,"AT Portal(prod), AT Portal(dev)",Autopackaging Restart,1,,Closed,3 - Medium,3 - Medium,02.05.2023,03.07.2023,62
229,8241,"CAT ticket created not properly, if no Care and package file is available on the Apptimized Portal backend -",QA,"AT Portal(prod), AT Portal(dev)",Autopackaging Restart,1,,Closed,3 - Medium,3 - Medium,02.05.2023,03.07.2023,62
230,8247,User shown twice in send notification field,Managment,"AT Portal(prod), AT Portal(dev)",Care,1,,Closed,2 - High,3 - Medium,03.05.2023,17.05.2023,14
233,8258,Autopackaging can not be performed if the source file size is bigger 2gb,Customer(Internal),"OPS(dev), OPS(prod)",Autopackaging,1,buffer size is 2gb,Closed,3 - Medium,3 - Medium,03.05.2023,21.07.2023,79
230,8261,AAP Windows 11 x64 EN (22H2) - auto-update enabled,Customer(Internal),"AT Portal(prod), AT Portal(dev)",VDI image,1,,Closed,3 - Medium,3 - Medium,03.05.2023,24.05.2023,21
-,8276,"AT Portal Intune. 500 error is ""Access to All apps"" permission is not enabled",QA,"AT Portal(prod), AT Portal(dev)",Intune,1,,To Do,3 - Medium,3 - Medium,04.05.2023,04.05.2023,0
231,8295,AT portal UM. Editing application version will increase release time,QA,"AT Portal(prod), AT Portal(dev)",UM,1,,Closed,3 - Medium,3 - Medium,10.05.2023,17.06.2023,38
-,8296,"After the wrapper generation umlauts were replaced with ""?"". LGH project.",Customer(Internal),"OPS(dev), OPS(prod)",Package Template,1,,To Do,3 - Medium,3 - Medium,10.05.2023,25.07.2023,76
230,8304,The Assignee field is not saved during the editing of the Autopackaging template,QA,"OPS(dev), OPS(prod)",Autopackaging template,1,,Closed,3 - Medium,3 - Medium,12.05.2023,03.07.2023,52
-,8307,PWCGCI Windows 10 x64 EN (21H1) Office PWC - Office can't be activated,Customer(Internal),"OPS(dev), OPS(prod)",VDI image,1,,To Do,3 - Medium,3 - Medium,12.05.2023,04.08.2023,84
237,8326,Remove unneeded TenantUser DB entity from AT portal,Developer,SSO(dev),Organization,1,,Closed,2 - High,3 - Medium,17.05.2023,27.06.2023,41
-,8364,AAP Windows 11 x64 EN (22H2) - issues,Customer(Internal),"OPS(dev), OPS(prod)",VDI image,1,,To Do,3 - Medium,3 - Medium,18.05.2023,19.05.2023,1
231,8367,OPS: Roboboss can't retrieve assignee field,Developer,"OPS(dev), OPS(prod)",Roboboss,1,,Closed,1 - Critical,1 - Critical,18.05.2023,30.05.2023,12
231,8369,Care+ problems with technologies and platforms,Developer,"AT Portal(prod), AT Portal(dev)",Care+,1,different ids for Packaging technology in different SDC project,Closed,3 - Medium,3 - Medium,18.05.2023,08.07.2023,51
231,8373,Source status gap,Developer,"OPS(dev), OPS(prod)",Crawler,1,,Closed,3 - Medium,3 - Medium,19.05.2023,19.05.2023,0
-,8382,SafeBox doesn't work,DevOps,SafeBox,Authorization,1,,Closed,3 - Medium,3 - Medium,19.05.2023,19.05.2023,0
-,8386,The Copy project doesn't work on the Administration -> Projects,QA,"AT Portal(prod), AT Portal(dev)",Project,1,,To Do,1 - Critical,1 - Critical,19.05.2023,23.05.2023,4
231,8391,Fix error 'Could not create a VM for testing' because of DbContext,Developer,"OPS(dev), OPS(prod)",Autopackaging Testing,2,,Closed,1 - Critical,2 - High,19.05.2023,23.05.2023,4
